text1,text2,label
Climate change leads to rising sea levels.,Climate change leads to rising sea levels in real-world applications.,1
Colonialism reshaped global political structures.,The solar system contains eight planets.,0
Climate change leads to rising sea levels.,Climate change leads to rising sea levels using modern approaches.,1
Artificial intelligence automates complex decision making.,Artificial intelligence automates complex decision making through advanced techniques.,1
Supply and demand determine market prices.,The moon orbits the Earth.,0
Ancient civilizations developed early writing systems.,World War II ended in 1945 after global conflict.,0
Tennis matches are played on different court surfaces.,Football is one of the most popular sports worldwide.,0
Blockchain enables secure digital transactions.,Blockchain enables secure digital transactions through advanced techniques.,1
Text similarity techniques compare documents for shared meaning.,Oceans cover most of the Earth's surface.,0
Gross Domestic Product measures economic output.,Mount Everest is the tallest mountain on Earth.,0
Cybersecurity protects systems from cyber attacks.,Blockchain enables secure digital transactions.,0
Machine learning enables computers to learn patterns from data.,Mount Everest is the tallest mountain on Earth.,0
Photosynthesis allows plants to produce their own food.,Gravity attracts objects toward the Earth's center.,0
Sleep is critical for physical recovery.,Sleep is critical for physical recovery through advanced techniques.,1
Teachers assess student performance regularly.,Teachers assess student performance regularly using modern approaches.,1
The French Revolution began in the late eighteenth century.,The French Revolution began in the late eighteenth century through advanced techniques.,1
The Industrial Revolution transformed European economies.,Birds migrate during seasonal changes.,0
Named entity recognition identifies entities in text.,The solar system contains eight planets.,0
Online learning increases access to education.,Higher education prepares students for careers.,0
Gross Domestic Product measures economic output.,Gross Domestic Product measures economic output in real-world applications.,1
Machine learning enables computers to learn patterns from data.,Artificial intelligence automates complex decision making.,0
Artificial intelligence automates complex decision making.,Cooking pasta requires boiling water.,0
The French Revolution began in the late eighteenth century.,The French Revolution began in the late eighteenth century using modern approaches.,1
Pollution affects air and water quality.,Climate change leads to rising sea levels.,0
The Olympics are held every four years.,Tennis matches are played on different court surfaces.,0
Higher education prepares students for careers.,Higher education prepares students for careers through advanced techniques.,1
Unemployment affects economic growth.,Unemployment affects economic growth using modern approaches.,1
Football is one of the most popular sports worldwide.,Football is one of the most popular sports worldwide in real-world applications.,1
Artificial intelligence automates complex decision making.,The moon orbits the Earth.,0
Football is one of the most popular sports worldwide.,Basketball games are divided into four quarters.,0
World War II ended in 1945 after global conflict.,Music strongly influences emotions.,0
A balanced diet supports proper nutrition.,Mount Everest is the tallest mountain on Earth.,0
Gravity attracts objects toward the Earth's center.,Gravity attracts objects toward the Earth's center using modern approaches.,1
